tokens;labels;text;DMC
[126, 18, 386, 180, 314, 315];0;"Mountain bicycle: 
 Applicability cross-reference table";DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA(1)
[126, 19, 308, 180, 10, 353];0;"Mountain bicycle: 
 Applicability cross-reference table";DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA(1)
[7, 51, 2, 211, 529, 38, 4, 2, 18, 9, 2, 7, 51, 387, 6, 316, 212, 4, 2, 7, 51, 9, 99, 213, 70, 6, 388, 23, 252, 21, 35, 36, 3, 23, 2, 99, 212, 57, 530, 57, 366, 44, 36, 23, 31, 23, 37, 2, 18, 181, 9, 389, 3, 24, 82, 9, 317, 143, 127, 4, 7, 51, 2, 144, 182, 8, 211, 18, 9, 2, 318, 7, 10, 3, 318, 7, 2, 7, 51, 10, 3, 64, 76, 390, 206, 2, 7, 25, 10, 3, 2, 7, 106, 2, 7, 319, 2, 7, 48, 108, 320, 57, 486, 2, 7, 39, 10, 3, 318, 7, 13, 487, 106, 6, 106, 11, 207, 14, 2, 7, 25, 8, 2, 34, 117, 2, 77, 25, 8, 2, 7, 367, 37, 214, 2, 7, 39, 183, 2, 215, 60, 4, 2, 16, 160, 391, 2, 216, 4, 2, 18, 7, 39, 82, 9, 392, 7, 39, 10, 3, 8, 2, 18, 77, 9, 182, 8, 2, 26, 16, 5, 77, 8, 2, 41, 16, 2, 7, 39, 9, 21, 109, 4, 253, 321, 254, 2, 39, 214, 183, 2, 60, 4, 2, 16, 3, 145, 217, 70, 2, 36, 184, 2, 7, 25, 531, 393, 4, 6, 7, 7, 25, 2, 7, 25, 10, 3, 9, 368, 161, 2, 25, 9, 32, 20, 2, 87, 6, 48, 49, 54, 2, 87, 37, 49, 9, 31, 532, 488, 15, 9, 182, 20, 2, 87, 2, 25, 100, 8, 6, 25, 118, 49, 2, 533, 162, 119, 54, 2, 7, 106, 37, 162, 119, 159, 2, 94, 4, 2, 106, 489, 206, 4, 6, 126, 18, 25, 2, 208, 7, 25, 54, 2, 7, 39, 8, 2, 26, 16, 5, 2, 185, 7, 39, 54, 2, 7, 8, 2, 41, 16];1;"Brake system: 
 The most important part of the bicycle is the brake system. Only a minimum maintenance of the brake system is necessary. But, when a problem does occur, make sure you to do the necessary maintenance as quickly as possible. If you do not do this the bicycle will be dangerous to use. 
 There are nine different types of brake systems. The one found on most bicycles is the cantilever brake (refer to ). 
 Cantilever brake: 
 The brake system (refer to ) has these primary components:  
 the brake lever (refer to ) 
 the brake cable 
 the brake arm 
 the brake clamp (also known as callipers) 
 the brake pads (refer to ) 
 Cantilever brake with straddle cable: 
 A cable that goes from the brake levers on the handlebars pulls the two levers on the brakes together. This presses the brake pads against the outer rim of the wheel, which decreases the speed of the bicycle. 
 Brake pads: 
 There are four brake pads (refer to ) on the bicycle. Two are found on the front wheel and two on the rear wheel. The brake pads are made out of hard wearing rubber. The pads press against the rim of the wheel to cause friction when the you operate the brake levers. 
 Exploded diagram of a brake: 
 Brake lever: 
 The brake levers (refer to ) are easily damaged. The lever is installed in the mount. A clamp bolt holds the mount. This bolt is not visible because it is found in the mount. The lever turns on a lever pivot bolt. The adjuster lock nut holds the brake cable. This lock nut adjusts the tension of the cable. 
 Typical components of a mountain bicycle lever: 
 The left brake lever holds the brake pads on the front wheel and the right brake pads hold the brakes on the rear wheel.";DMC-BRAKE-A-DA1-00-00-00AA-041A-AAA(1)
[7, 51, 2, 211, 708, 38, 4, 2, 19, 17, 2, 7, 51, 469, 6, 316, 240, 4, 2, 7, 51, 17, 104, 213, 70, 6, 388, 509, 252, 21, 35, 36, 3, 23, 2, 104, 240, 57, 415, 57, 379, 44, 36, 23, 31, 23, 37, 2, 19, 181, 9, 470, 3, 24, 82, 59, 317, 139, 127, 4, 7, 51, 2, 144, 354, 8, 211, 19, 17, 2, 355, 7, 10, 3, 355, 7, 2, 7, 51, 10, 3, 140, 76, 471, 210, 2, 7, 25, 10, 3, 2, 7, 107, 2, 7, 319, 2, 7, 48, 108, 356, 57, 510, 2, 7, 39, 10, 3, 355, 7, 13, 511, 107, 6, 107, 11, 512, 14, 2, 7, 25, 8, 2, 34, 117, 2, 77, 25, 8, 2, 7, 380, 37, 214, 2, 7, 39, 183, 2, 215, 60, 4, 2, 16, 160, 472, 2, 216, 4, 2, 19, 7, 39, 82, 59, 392, 7, 39, 10, 3, 8, 2, 19, 77, 59, 354, 8, 2, 26, 16, 5, 77, 8, 2, 41, 16, 2, 7, 39, 59, 115, 109, 4, 253, 321, 254, 2, 39, 214, 183, 2, 60, 4, 2, 16, 3, 158, 217, 70, 2, 36, 141, 2, 7, 25, 709, 393, 4, 6, 7, 7, 25, 2, 7, 25, 10, 3, 59, 381, 172, 2, 25, 17, 32, 20, 2, 87, 6, 48, 49, 54, 2, 87, 37, 49, 17, 31, 710, 513, 15, 17, 354, 20, 2, 87, 2, 25, 100, 8, 6, 25, 118, 49, 2, 159, 162, 119, 54, 2, 7, 107, 37, 162, 119, 159, 2, 94, 4, 2, 107, 514, 210, 4, 6, 126, 19, 25, 2, 208, 7, 25, 54, 2, 7, 39, 8, 2, 26, 16, 5, 2, 185, 7, 39, 54, 2, 7, 8, 2, 41, 16];1;"Brake system: 
 The most important part of the bicycle is the brake system. Only a minimum maintenance of the brake system is necessary. But, when a problem does occur, make sure you to do the necessary maintenance as quickly as possible. If you do not do this the bicycle will be dangerous to use. 
 There are nine different types of brake systems. The one found on most bicycles is the cantilever brake (refer to ). 
 Cantilever brake: 
 The brake system (refer to ) has these primary components:  
 the brake lever (refer to ) 
 the brake cable 
 the brake arm 
 the brake clamp (also known as callipers) 
 the brake pads (refer to ) 
 Cantilever brake with straddle cable: 
 A cable that goes from the brake levers on the handlebars pulls the two levers on the brakes together. This presses the brake pads against the outer rim of the wheel, which decreases the speed of the bicycle. 
 Brake pads: 
 There are four brake pads (refer to ) on the bicycle. Two are found on the front wheel and two on the rear wheel. The brake pads are made out of hard wearing rubber. The pads press against the rim of the wheel to cause friction when the you operate the brake levers. 
 Exploded diagram of a brake: 
 Brake lever: 
 The brake levers (refer to ) are easily damaged. The lever is installed in the mount. A clamp bolt holds the mount. This bolt is not visible because it is found in the mount. The lever turns on a lever pivot bolt. The adjuster lock nut holds the brake cable. This lock nut adjusts the tension of the cable. 
 Typical components of a mountain bicycle lever: 
 The left brake lever holds the brake pads on the front wheel and the right brake pads hold the brakes on the rear wheel.";DMC-BRAKE-A-DA1-00-00-00AA-041A-AAA(1)
[7, 51, 101, 4, 88, 15, 9, 21];2;"Brake system: 
 Description of how it is made";DMC-BRAKE-A-DA1-00-00-00AA-041A-AAA(2)
[7, 51, 105, 4, 88, 15, 17, 115];2;"Brake system: 
 Description of how it is made";DMC-BRAKE-A-DA1-00-00-00AA-041A-AAA(2)
[65, 2, 18, 20, 6, 490, 163, 54, 2, 128, 61, 5, 89, 2, 18, 113, 80, 2, 7, 21, 35, 11, 2, 16, 162, 5, 2, 18, 255];3;"Put the bicycle in a vertical position. 
 Hold the handle bars and push the bicycle forwards. 
 Apply the brakes. 
 Make sure that the wheels lock and the bicycle stops.";DMC-BRAKE-A-DA1-00-00-00AA-341A-AAA(2)
[65, 2, 19, 20, 6, 515, 173, 54, 2, 135, 61, 5, 89, 2, 19, 113, 81, 2, 7, 21, 35, 11, 2, 16, 162, 5, 2, 19, 255];3;"Put the bicycle in a vertical position. 
 Hold the handle bars and push the bicycle forwards. 
 Apply the brakes. 
 Make sure that the wheels lock and the bicycle stops.";DMC-BRAKE-A-DA1-00-00-00AA-341A-AAA(2)
[7, 51, 256, 120];4;"Brake system: 
 Manual test";DMC-BRAKE-A-DA1-00-00-00AA-341A-AAA(3)
[23, 6, 322, 369, 4, 2, 7, 57, 175, 20, 2, 257, 129, 66, 10, 3, 28, 2, 7, 39, 182, 95, 4, 2, 7, 39, 80, 6, 186, 258, 4, 2, 8, 95, 4, 2, 7, 39, 259, 2, 323, 187, 36, 64, 80, 2, 3, 2, 491, 323, 4, 2, 39, 29, 2, 218, 260];5;"Do a visual inspection of the brakes as given in the pre-ride checks (refer to  
 Clean the brake pads. 
 Find each of the brake pads. 
 Apply a thin layer of the  on each of the brake pads. 
 Rub the surface until you have applied the  to the complete surface of the pad. 
 Remove the unwanted alcohol.";DMC-BRAKE-A-DA1-10-00-00AA-251A-AAA(2)
