tokens;labels;text;DMC
[52, 22, 53, 14, 48, 49, 36, 117, 4, 2, 46, 28, 8, 33, 3, 7, 17, 118, 5, 119, 10, 14, 120, 121, 85, 8, 122, 171, 8, 14, 72, 54, 203, 43, 14, 9, 3, 7, 17];0;"Neither ASD nor any person who has contributed to the creation,
                            revision or maintenance of this material shall be liable for any direct,
                            indirect, special or consequential damages or any other liability
                            arising from any use of this material.";DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[52, 22, 53, 14, 48, 49, 81, 130, 4, 2, 46, 28, 8, 33, 3, 7, 17, 118, 5, 119, 10, 14, 120, 121, 85, 8, 122, 206, 8, 14, 72, 54, 207, 43, 14, 9, 3, 7, 17];0;"Neither ASD nor any person who has contributed to the creation,
                            revision or maintenance of this material shall be liable for any direct,
                            indirect, special or consequential damages or any other liability
                            arising from any use of this material.";DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[35, 45, 106, 7, 11, 12, 13, 97, 37, 77, 90, 87, 73];1;"Users may destroy this data module in accordance with their own local
            procedures.";DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[63, 45, 106, 7, 11, 12, 13, 97, 37, 77, 90, 87, 149];1;"Users may destroy this data module in accordance with their own local
            procedures.";DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[32];2;All;DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[467, 1421];3;B/SN;DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[2, 268, 3, 2, 60];4;The model of the brake;DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[50, 6, 30, 102, 61, 3, 51];5;AEROSPACE AND DEFENCE INDUSTRIES ASSOCIATION OF EUROPE;DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[50, 6, 30, 115, 61, 3, 51];5;AEROSPACE AND DEFENCE INDUSTRIES ASSOCIATION OF EUROPE;DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[652, 137, 71, 60];6;Serial number by brake;DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
[4, 5, 57, 86, 4, 32, 18, 20, 35];7;To be made available to all S1000D users.;DMC-BRAKE-D-D00-00-00-00AA-00WA-AAA
