tokens;labels;text;DMC
[667, 20, 339, 131, 23];0;"Руководство по эксплуатации 
 Урал-44202-0003511-80М";DMC-URALM-A-00-00-00-00A-002A-A(1)
[741, 20, 349, 138, 23];0;"Руководство по эксплуатации 
 Урал-44202-0003511-80М";DMC-URALM-A-00-00-00-00A-002A-A(1)
[131, 1095, 89];1;"Урал: 
 Титульный лист";DMC-URALM-A-00-00-00-00A-002A-A(2)
[138, 1277, 89];1;"Урал: 
 Титульный лист";DMC-URALM-A-00-00-00-00A-002A-A(2)
[1623, 1096, 1097, 1098];2;Products cross-reference table;DMC-URALM-D-00-00-00-00A-00PA-A(1)
[1099, 1096, 1097, 1098];3;Applicability cross-reference table;DMC-URALM-D-00-00-00-00A-00WA-A(1)
[2302, 31, 131, 5, 400, 1372, 471, 471, 5, 2303, 272, 847, 2304, 1100, 162, 7, 1624, 472, 2305, 2, 2306, 217, 20, 473, 177, 420, 2, 2307, 31, 131, 1625, 4, 339, 18, 249, 1373, 24, 3, 1101, 15, 1102, 5, 46, 1626, 5, 1374, 46, 1102, 5, 668, 46, 309, 2308, 848, 18, 309, 1627, 770, 339, 3, 981, 5, 273, 421, 474, 771, 2, 848, 562, 1103, 2309, 1628, 18, 770, 2310, 473, 1629, 626, 3, 667, 20, 339, 523, 377, 47, 849, 1104, 3, 1105, 626, 1630, 772, 340, 218, 2, 272, 1631, 30, 1632, 34, 773, 2311, 774, 668, 1375, 30, 474, 2312, 2313, 1633, 2, 1634, 2314, 668, 31, 1635, 2315, 774, 47, 849, 2316, 2317, 31, 2, 1106, 2318, 3, 1107, 2319, 20, 1636, 850, 2, 1637, 1638, 132, 31, 162, 7, 339, 5, 2320, 41, 219, 2321, 20, 378, 563, 2, 2322, 20, 378, 850, 1108, 446, 447, 422, 41, 422, 41, 20, 1639, 1640, 475, 564, 3, 981, 5, 474, 328, 4, 31, 775, 85, 851, 775, 982, 476, 34, 20, 378, 355, 90, 2, 1376, 669, 20, 378, 7, 2323, 670, 4, 2324, 983, 1641, 1642, 217, 1643, 1644, 423, 775, 239, 523, 1109, 1100, 852, 20, 378, 563, 7, 2325, 1377, 775, 85, 1110, 669, 423, 523, 1109, 378, 563, 2, 2326, 1378, 423, 1645, 1646, 1647, 20, 2327, 776, 853, 474, 1379, 240, 1377, 775, 85, 1648, 108, 1649, 1111, 2328, 3, 1650, 854, 132, 8, 31, 131, 7, 339, 5, 217, 20, 378, 1112, 1643, 1644, 423, 775, 1111, 523, 1109, 378, 565, 984, 217, 71, 1651, 23, 240, 1107, 671, 2, 28, 4, 31, 2, 296, 1106, 772, 855, 18, 2329, 5, 2330, 2331, 672, 673, 3, 2332, 274, 776, 2333, 2334, 2335, 2336, 4, 2337, 477, 17, 985, 448, 31, 31, 131, 478, 777, 2338, 47, 162, 7, 1624, 1380, 472, 986, 31, 2, 1106, 131, 449, 3, 981, 5, 474, 1652, 421, 987, 400, 1653, 1654, 1655, 1381, 450, 4, 275, 356, 2339, 190, 3, 208, 132, 1655, 1381, 1382, 479, 2340, 2341, 341, 673, 1381, 1656, 566, 2342, 1383, 988, 475, 564, 1383, 988, 1384, 989, 564, 1383, 988, 1384, 564, 567, 1384, 988, 670, 4, 674, 775, 85, 566, 1657, 108, 1653, 1654, 1657, 108, 1106, 986, 1656, 566, 1113, 4, 275, 250, 297, 3, 21, 132, 190, 2, 64, 1658, 251, 1638, 132, 3, 981, 5, 1659];4;"Модернизированные автомобили «Урал» с колесной формулой 4х4, 6х6 с силовым агрегатом ЯМЗ-536 (экологический класс – 4), предназначены для перевозки грузов, людей и буксирования прицепов по всем видам дорог и местности. 
 Автомобили «Урал» рассчитаны на эксплуатацию при температурах окружающего воздуха в диапазоне от минус 45 °С до плюс 50 °С (кратковременно до минус 50 °С). 
 Ресурс до первого капитального ремонта при первой категории условий эксплуатации в соответствии с «Положением о техническом обслуживании и ремонте подвижного состава автомобильного транспорта» при условии соблюдения всех правил, указанных в руководстве по эксплуатации, должен быть не менее 350000 км. 
 В течении указанного периода допускается замена узлов и агрегатов, прошедших установленный пробег, а также покупных изделий, ресурс которых, установленный технической документацией предприятий-поставщиков и стандартами, меньше ресурса автомобиля. 
 Срок службы изделия не менее десяти лет. 
 Автомобили и шасси выпускаются в различных комплектациях по вариантам исполнения и номенклатуре составных частей. 
 Автомобили предназначены для эксплуатации с прицепными системами, имеющими пневмовыводы по ГОСТ Р 50023-92 и электровыводы по ГОСТ 9200-76 (исполнение II), пневматический вывод тормозной системы, тормозные системы по ЕЭК ООН №13-10, полную массу в соответствии с технической характеристикой на автомобиль, сцепные устройства: 
 Полуприцепов - сцепной шкворень диаметром А по ГОСТ 12017-81, равным 50,8 мм, и присоединительные размеры по ГОСТ 12105-74 для номинальной нагрузки на седло свыше 83,3 кН (8,5 тс). 
 Прицепов - дышло прицепа (проушина сцепной тяги) должно соответствовать классу D50 по ГОСТ Р 41.55-2005 (для беззазорного тягово-сцепного устройства), основные размеры проушины должны соответствовать ГОСТ Р 41.55-2005 и ИСО 1102-75. 
 Применение проушин других размерностей запрещается. 
 По желанию потребителя имеется техническая возможность установки тягово-сцепного устройства (ТСУ) типа «крюк-петля» (поставляется в качестве запасных частей к автомобилям «Урал») для эксплуатации с прицепами по ГОСТ 2349-75 типоразмер 3. 
 Дышло прицепа (проушина сцепной петли) должно соответствовать ГОСТ 2349-75. 
 Основная модель прицепа - 82Б (2ПН-4М). 
 Установка различного оборудования и механизмов на автомобиль и его шасси допускается только при согласовании с Инженерно-конструкторским центром завода. В противном случае потребитель лишается права предъявлять рекламации на преждевременный выход из строя деталей автомобиля. 
 Автомобили «Урал» без дополнительной доработки не предназначены для перевозки опасных грузов. 
 Маркировка автомобиля и шасси «Урал» выполнена в соответствии с техническим регламентом о безопасности колесных транспортных средств. 
 Табличка изготовителя устанавливается на правой панели боковины кабины, в нижней части. Табличка изготовителя содержит следующие данные: 
 товарный знак завода изготовителя 
 идентификационный номер 
 модификация 
 технически допустимая полная масса 
 технически допустимые максимальные осевые массы 
 технически допустимая максимальная масса автопоезда 
 максимальная допустимая нагрузка на седельно-сцепное устройство 
 номер одобрения типа транспортного средства (одобрения типа шасси). 
 Маркировка идентификационного номера выполняется на правом лонжероне рамы, в задней части. 
 Кабина и двигатель маркируются как составные части в соответствии с ОСТ 37.001.269-96.";DMC-URALM-A-00-00-00-00A-018A-A(1)
[2847, 1037, 138, 5, 411, 1508, 471, 471, 5, 2848, 272, 847, 2849, 1100, 164, 7, 2031, 472, 2850, 2, 2851, 217, 20, 1278, 177, 435, 2, 2852, 1037, 138, 2032, 4, 349, 18, 259, 1509, 24, 3, 1101, 15, 1102, 5, 46, 1626, 5, 1510, 46, 1102, 5, 668, 46, 323, 2853, 848, 18, 323, 2033, 813, 349, 3, 509, 5, 289, 421, 412, 814, 2, 848, 598, 1103, 2854, 1628, 18, 813, 2855, 1038, 245, 647, 3, 741, 20, 349, 2856, 543, 47, 929, 1104, 3, 1279, 647, 1630, 648, 394, 599, 2, 272, 2857, 742, 1632, 34, 815, 2858, 816, 668, 37, 742, 412, 2859, 2860, 1633, 2, 1634, 2034, 668, 36, 1635, 2861, 816, 47, 929, 2862, 2863, 1037, 2, 1280, 2864, 3, 1281, 2865, 20, 1636, 930, 2, 2035, 2036, 139, 1037, 164, 7, 349, 5, 2866, 44, 1511, 2867, 20, 378, 563, 2, 2868, 20, 378, 930, 1108, 462, 447, 436, 44, 436, 44, 20, 1639, 1640, 510, 600, 3, 509, 5, 412, 335, 4, 36, 743, 87, 851, 743, 1512, 476, 34, 20, 378, 463, 90, 2, 1513, 669, 20, 378, 7, 2869, 1282, 4, 2037, 1039, 1641, 1642, 217, 2038, 217, 437, 743, 246, 601, 1514, 1100, 852, 20, 378, 563, 7, 2870, 1515, 743, 87, 438, 669, 437, 601, 1514, 378, 563, 2, 2871, 1516, 437, 602, 2039, 2040, 20, 2872, 817, 303, 412, 1283, 247, 1515, 743, 87, 1648, 108, 1649, 1284, 2873, 3, 2041, 931, 139, 8, 36, 138, 7, 349, 5, 217, 20, 378, 1112, 2038, 217, 437, 743, 1284, 601, 1514, 378, 438, 1040, 217, 71, 1651, 23, 247, 1281, 744, 2, 28, 4, 36, 2, 350, 1280, 648, 932, 18, 2874, 5, 2875, 2876, 672, 673, 3, 2877, 290, 817, 2878, 245, 2879, 2880, 4, 2881, 477, 17, 1041, 511, 36, 1037, 138, 478, 544, 2882, 47, 164, 7, 2031, 1517, 472, 1042, 36, 2, 1280, 138, 545, 3, 509, 5, 412, 1652, 421, 1043, 411, 2042, 2043, 2044, 1518, 351, 4, 245, 366, 2883, 195, 3, 214, 139, 2044, 1518, 1519, 395, 1285, 2884, 341, 673, 1518, 2045, 566, 2885, 412, 1044, 510, 600, 412, 1044, 1520, 1045, 600, 412, 1044, 1520, 600, 567, 1520, 1044, 1282, 4, 745, 743, 87, 566, 2046, 108, 2042, 2043, 2046, 108, 1280, 1042, 2045, 566, 818, 4, 245, 250, 213, 3, 22, 139, 195, 2, 66, 2047, 251, 2036, 139, 3, 509, 5, 1659];4;"Модернизированные автомобили «Урал» с колесной формулой 4х4, 6х6 с силовым агрегатом ЯМЗ-536 (экологический класс – 4), предназначены для перевозки грузов, людей и буксирования прицепов по всем видам дорог и местности. 
 Автомобили «Урал» рассчитаны на эксплуатацию при температурах окружающего воздуха в диапазоне от минус 45 °С до плюс 50 °С (кратковременно до минус 50 °С). 
 Ресурс до первого капитального ремонта при первой категории условий эксплуатации в соответствии с «Положением о техническом обслуживании и ремонте подвижного состава автомобильного транспорта» при условии соблюдения всех правил, указанных в руководстве по эксплуатации, должен быть не менее 350000 км. 
 В течении указанного периода допускается замена узлов и агрегатов, прошедших установленный пробег, а также покупных изделий, ресурс которых, установленный технической документацией предприятий-поставщиков и стандартами, меньше ресурса автомобиля. 
 Срок службы изделия не менее десяти лет. 
 Автомобили и шасси выпускаются в различных комплектациях по вариантам исполнения и номенклатуре составных частей. 
 Автомобили предназначены для эксплуатации с прицепными системами, имеющими пневмовыводы по ГОСТ Р 50023-92 и электровыводы по ГОСТ 9200-76 (исполнение II), пневматический вывод тормозной системы, тормозные системы по ЕЭК ООН №13-10, полную массу в соответствии с технической характеристикой на автомобиль, сцепные устройства: 
 Полуприцепов - сцепной шкворень диаметром А по ГОСТ 12017-81, равным 50,8 мм, и присоединительные размеры по ГОСТ 12105-74 для номинальной нагрузки на седло свыше 83,3 кН (8,5 тс). 
 Прицепов - дышло прицепа (проушина сцепной тяги) должно соответствовать классу D50 по ГОСТ Р 41.55-2005 (для беззазорного тягово-сцепного устройства), основные размеры проушины должны соответствовать ГОСТ Р 41.55-2005 и ИСО 1102-75. 
 Применение проушин других размерностей запрещается. 
 По желанию потребителя имеется техническая возможность установки тягово-сцепного устройства (ТСУ) типа «крюк-петля» (поставляется в качестве запасных частей к автомобилям «Урал») для эксплуатации с прицепами по ГОСТ 2349-75 типоразмер 3. 
 Дышло прицепа (проушина сцепной петли) должно соответствовать ГОСТ 2349-75. 
 Основная модель прицепа - 82Б (2ПН-4М). 
 Установка различного оборудования и механизмов на автомобиль и его шасси допускается только при согласовании с Инженерно-конструкторским центром завода. В противном случае потребитель лишается права предъявлять рекламации на преждевременный выход из строя деталей автомобиля. 
 Автомобили «Урал» без дополнительной доработки не предназначены для перевозки опасных грузов. 
 Маркировка автомобиля и шасси «Урал» выполнена в соответствии с техническим регламентом о безопасности колесных транспортных средств. 
 Табличка изготовителя устанавливается на правой панели боковины кабины, в нижней части. Табличка изготовителя содержит следующие данные: 
 товарный знак завода изготовителя 
 идентификационный номер 
 модификация 
 технически допустимая полная масса 
 технически допустимые максимальные осевые массы 
 технически допустимая максимальная масса автопоезда 
 максимальная допустимая нагрузка на седельно-сцепное устройство 
 номер одобрения типа транспортного средства (одобрения типа шасси). 
 Маркировка идентификационного номера выполняется на правом лонжероне рамы, в задней части. 
 Кабина и двигатель маркируются как составные части в соответствии с ОСТ 37.001.269-96.";DMC-URALM-A-00-00-00-00A-018A-A(1)
[667, 20, 339, 2343];5;"Руководство по эксплуатации: 
 Введение";DMC-URALM-A-00-00-00-00A-018A-A(2)
[741, 20, 349, 2886];5;"Руководство по эксплуатации: 
 Введение";DMC-URALM-A-00-00-00-00A-018A-A(2)
