tokens;labels;text;DMC
[17];0;Все;DMC-URALM-A-00-00-00-00A-002A-A
[654, 14, 336];1;Руководство по эксплуатации;DMC-URALM-A-00-00-00-00A-002A-A
[675, 14, 354];1;Руководство по эксплуатации;DMC-URALM-A-00-00-00-00A-002A-A
[1163, 139];2;Титульный лист;DMC-URALM-A-00-00-00-00A-002A-A
[1493, 139];2;Титульный лист;DMC-URALM-A-00-00-00-00A-002A-A
[1854, 654, 1587, 2776];3;Данное руководство является ознакомительным.;DMC-URALM-A-00-00-00-00A-002A-A
[465, 675, 1743, 3432];3;Данное руководство является ознакомительным.;DMC-URALM-A-00-00-00-00A-002A-A
[28];4;Урал;DMC-URALM-A-00-00-00-00A-002A-A
[29];4;Урал;DMC-URALM-A-00-00-00-00A-002A-A
[146, 147];5;Ответственная компания;DMC-URALM-A-00-00-00-00A-002A-A
[149, 150];5;Ответственная компания;DMC-URALM-A-00-00-00-00A-002A-A
[103, 140, 47, 28];6;АО «Автомобильный завод «УРАЛ»;DMC-URALM-A-00-00-00-00A-002A-A
[18, 144, 47, 29];6;АО «Автомобильный завод «УРАЛ»;DMC-URALM-A-00-00-00-00A-002A-A
[28, 6];7;Урал-44202-0003511-80М;DMC-URALM-A-00-00-00-00A-002A-A
[29, 6];7;Урал-44202-0003511-80М;DMC-URALM-A-00-00-00-00A-002A-A
[17];8;Все;DMC-URALM-D-00-00-00-00A-00PA-A
[103, 436, 804, 805];9;"АО ""НИЦ Прикладная логистика""";DMC-URALM-D-00-00-00-00A-00PA-A
[18, 436, 842, 843];9;"АО ""НИЦ Прикладная логистика""";DMC-URALM-D-00-00-00-00A-00PA-A
[509, 1164, 510, 20];10;Products cross-reference table;DMC-URALM-D-00-00-00-00A-00PA-A
[17];11;Все;DMC-URALM-D-00-00-00-00A-00WA-A
[877, 2, 1025];12;Месяц и год;DMC-URALM-D-00-00-00-00A-00WA-A
[151, 253];13;Колёсная формула;DMC-URALM-D-00-00-00-00A-00WA-A
[154, 265];13;Колёсная формула;DMC-URALM-D-00-00-00-00A-00WA-A
[2777, 511];14;Серийный номер;DMC-URALM-D-00-00-00-00A-00WA-A
[3433, 511];14;Серийный номер;DMC-URALM-D-00-00-00-00A-00WA-A
[878];15;Модель;DMC-URALM-D-00-00-00-00A-00WA-A
[973];15;Модель;DMC-URALM-D-00-00-00-00A-00WA-A
[103, 436, 804, 805];16;"АО ""НИЦ Прикладная логистика""";DMC-URALM-D-00-00-00-00A-00WA-A
[18, 436, 842, 843];16;"АО ""НИЦ Прикладная логистика""";DMC-URALM-D-00-00-00-00A-00WA-A
[1855, 220, 28, 6];17;Конфигурация изделия Урал-44202-80М;DMC-URALM-D-00-00-00-00A-00WA-A
[2491, 226, 29, 6];17;Конфигурация изделия Урал-44202-80М;DMC-URALM-D-00-00-00-00A-00WA-A
[45];18;Амортизаторы;DMC-URALM-D-00-00-00-00A-00WA-A
[141, 806, 45];19;Тип устанавливаемых амортизаторов;DMC-URALM-D-00-00-00-00A-00WA-A
[141, 594, 45];19;Тип устанавливаемых амортизаторов;DMC-URALM-D-00-00-00-00A-00WA-A
[1026];20;сер.;DMC-URALM-D-00-00-00-00A-00WA-A
[1165, 1164, 510, 20];21;Applicability cross-reference table;DMC-URALM-D-00-00-00-00A-00WA-A
[1856, 693];22;Serial number;DMC-URALM-D-00-00-00-00A-00WA-A
[37, 221, 7, 336, 5, 2778, 58, 437, 2779, 14, 27, 229, 2, 2780, 14, 27, 879, 1166, 571, 476, 572, 58, 572, 58, 14, 1857, 1858, 573, 413, 3, 880, 5, 209, 512, 4, 37, 694, 129];23;Автомобили предназначены для эксплуатации с прицепными системами, имеющими пневмовыводы по ГОСТ Р 50023-92 и электровыводы по ГОСТ 9200-76 (исполнение II), пневматический вывод тормозной системы, тормозные системы по ЕЭК ООН №13-10, полную массу в соответствии с технической характеристикой на автомобиль, сцепные устройства:;DMC-URALM-A-00-00-00-00A-018A-A
[1093, 227, 7, 354, 5, 3434, 72, 2492, 3435, 14, 27, 229, 2, 3436, 14, 27, 974, 1166, 595, 476, 596, 72, 596, 72, 14, 1857, 1858, 597, 424, 3, 598, 5, 189, 555, 4, 43, 768, 132];23;Автомобили предназначены для эксплуатации с прицепными системами, имеющими пневмовыводы по ГОСТ Р 50023-92 и электровыводы по ГОСТ 9200-76 (исполнение II), пневматический вывод тормозной системы, тормозные системы по ЕЭК ООН №13-10, полную массу в соответствии с технической характеристикой на автомобиль, сцепные устройства:;DMC-URALM-A-00-00-00-00A-018A-A
[1588, 1027, 573, 413];24;технически допустимая полная масса;DMC-URALM-A-00-00-00-00A-018A-A
[189, 1094, 597, 424];24;технически допустимая полная масса;DMC-URALM-A-00-00-00-00A-018A-A
[37, 28, 1859, 4, 336, 32, 210, 1589, 42, 3, 1167, 12, 695, 5, 48, 1860, 5, 1590, 48, 695, 5];25;Автомобили «Урал» рассчитаны на эксплуатацию при температурах окружающего воздуха в диапазоне от минус 45 °С до плюс 50 °С (кратковременно до минус 50 °С).;DMC-URALM-A-00-00-00-00A-018A-A
[1093, 29, 2493, 4, 354, 32, 216, 1744, 42, 3, 1167, 12, 695, 5, 48, 1860, 5, 1745, 48, 695, 5];25;Автомобили «Урал» рассчитаны на эксплуатацию при температурах окружающего воздуха в диапазоне от минус 45 °С до плюс 50 °С (кратковременно до минус 50 °С).;DMC-URALM-A-00-00-00-00A-018A-A
[613, 48, 414, 1861, 513, 32, 414, 1862, 655, 336, 3, 880, 5, 438, 254, 209, 337, 2, 513, 1168, 1169, 140, 1863, 32, 655, 2781, 656, 1864, 657, 3, 654, 14, 336, 477, 374, 57, 696, 881];26;Ресурс до первого капитального ремонта при первой категории условий эксплуатации в соответствии с «Положением о техническом обслуживании и ремонте подвижного состава автомобильного транспорта» при условии соблюдения всех правил, указанных в руководстве по эксплуатации, должен быть не менее 350000 км.;DMC-URALM-A-00-00-00-00A-018A-A
[613, 48, 425, 2494, 513, 32, 425, 2495, 676, 354, 3, 598, 5, 466, 254, 189, 355, 2, 513, 1494, 1169, 144, 1863, 32, 676, 3437, 1495, 237, 677, 3, 675, 14, 354, 2496, 556, 57, 769, 881];26;Ресурс до первого капитального ремонта при первой категории условий эксплуатации в соответствии с «Положением о техническом обслуживании и ремонте подвижного состава автомобильного транспорта» при условии соблюдения всех правил, указанных в руководстве по эксплуатации, должен быть не менее 350000 км.;DMC-URALM-A-00-00-00-00A-018A-A
[37, 28, 439, 882, 2782, 57, 221, 7, 1865, 883, 440];27;Автомобили «Урал» без дополнительной доработки не предназначены для перевозки опасных грузов.;DMC-URALM-A-00-00-00-00A-018A-A
[1093, 29, 439, 770, 3438, 57, 227, 7, 2497, 844, 440];27;Автомобили «Урал» без дополнительной доработки не предназначены для перевозки опасных грузов.;DMC-URALM-A-00-00-00-00A-018A-A
[146, 147];28;Ответственная компания;DMC-URALM-A-00-00-00-00A-018A-A
[149, 150];28;Ответственная компания;DMC-URALM-A-00-00-00-00A-018A-A
[3, 1866, 657, 884, 807, 148, 292, 2, 441, 2783, 94, 1170, 18, 1028, 2784, 220, 613, 1591, 94, 209, 1171, 2785, 885, 2, 1172, 2786, 613, 37];29;В течении указанного периода допускается замена узлов и агрегатов, прошедших установленный пробег, а также покупных изделий, ресурс которых, установленный технической документацией предприятий-поставщиков и стандартами, меньше ресурса автомобиля.;DMC-URALM-A-00-00-00-00A-018A-A
[3, 2498, 677, 884, 845, 238, 678, 2, 441, 3439, 1496, 1170, 18, 1095, 3440, 226, 613, 297, 1496, 189, 1497, 3441, 885, 2, 1172, 1746, 613, 43];29;В течении указанного периода допускается замена узлов и агрегатов, прошедших установленный пробег, а также покупных изделий, ресурс которых, установленный технической документацией предприятий-поставщиков и стандартами, меньше ресурса автомобиля.;DMC-URALM-A-00-00-00-00A-018A-A
[37, 2, 697, 2787, 3, 1173, 2788, 14, 1867, 879, 2, 2789, 1868, 211];30;Автомобили и шасси выпускаются в различных комплектациях по вариантам исполнения и номенклатуре составных частей.;DMC-URALM-A-00-00-00-00A-018A-A
[1093, 2, 771, 3442, 3, 1498, 3443, 14, 1867, 974, 2, 3444, 2499, 217];30;Автомобили и шасси выпускаются в различных комплектациях по вариантам исполнения и номенклатуре составных частей.;DMC-URALM-A-00-00-00-00A-018A-A
[17];31;Все;DMC-URALM-A-00-00-00-00A-018A-A
[886, 2790, 220, 57, 696, 2791, 1025];32;Срок службы изделия не менее десяти лет.;DMC-URALM-A-00-00-00-00A-018A-A
[886, 3445, 226, 57, 769, 3446, 3447];32;Срок службы изделия не менее десяти лет.;DMC-URALM-A-00-00-00-00A-018A-A
[2792, 37, 28, 5, 151, 253, 11, 11, 5, 2793, 441, 887, 2794, 888, 221, 7, 1865, 440, 2795, 2, 2796, 230, 14, 656, 193, 415, 2, 2797];33;Модернизированные автомобили «Урал» с колесной формулой 4х4, 6х6 с силовым агрегатом ЯМЗ-536 (экологический класс – 4), предназначены для перевозки грузов, людей и буксирования прицепов по всем видам дорог и местности.;DMC-URALM-A-00-00-00-00A-018A-A
[3448, 1093, 29, 5, 154, 265, 11, 11, 5, 3449, 441, 887, 3450, 888, 227, 7, 2497, 440, 3451, 2, 3452, 230, 14, 1499, 193, 426, 2, 3453];33;Модернизированные автомобили «Урал» с колесной формулой 4х4, 6х6 с силовым агрегатом ЯМЗ-536 (экологический класс – 4), предназначены для перевозки грузов, людей и буксирования прицепов по всем видам дорог и местности.;DMC-URALM-A-00-00-00-00A-018A-A
[1174];34;модификация;DMC-URALM-A-00-00-00-00A-018A-A
[1500];34;модификация;DMC-URALM-A-00-00-00-00A-018A-A
[1869, 511];35;идентификационный номер;DMC-URALM-A-00-00-00-00A-018A-A
[2500, 511];35;идентификационный номер;DMC-URALM-A-00-00-00-00A-018A-A
[1592, 514, 2798, 1870, 1593];36;Применение проушин других размерностей запрещается.;DMC-URALM-A-00-00-00-00A-018A-A
[1747, 557, 772, 2501, 1748];36;Применение проушин других размерностей запрещается.;DMC-URALM-A-00-00-00-00A-018A-A
[1588, 1027, 1594, 413, 338];37;технически допустимая максимальная масса автопоезда;DMC-URALM-A-00-00-00-00A-018A-A
[189, 1094, 1749, 424, 338];37;технически допустимая максимальная масса автопоезда;DMC-URALM-A-00-00-00-00A-018A-A
[163, 2, 64, 1871, 293, 1868, 211, 3, 880, 5, 79];38;Кабина и двигатель маркируются как составные части в соответствии с ОСТ 37.001.269-96.;DMC-URALM-A-00-00-00-00A-018A-A
[169, 2, 66, 2502, 293, 2499, 217, 3, 598, 5, 79];38;Кабина и двигатель маркируются как составные части в соответствии с ОСТ 37.001.269-96.;DMC-URALM-A-00-00-00-00A-018A-A
[164, 1173, 272, 2, 54, 4, 37, 2, 478, 697, 807, 658, 32, 2799, 5, 2800, 2801, 889, 47, 3, 2802, 479, 698, 2803, 2804, 2805, 2806, 4, 2807, 574, 21, 1029, 204, 37];39;Установка различного оборудования и механизмов на автомобиль и его шасси допускается только при согласовании с Инженерно-конструкторским центром завода. В противном случае потребитель лишается права предъявлять рекламации на преждевременный выход из строя деталей автомобиля.;DMC-URALM-A-00-00-00-00A-018A-A
[170, 1498, 278, 2, 54, 4, 43, 2, 427, 771, 845, 679, 32, 3454, 5, 3455, 3456, 889, 47, 3, 3457, 494, 773, 3458, 237, 3459, 3460, 4, 3461, 574, 21, 1096, 266, 43];39;Установка различного оборудования и механизмов на автомобиль и его шасси допускается только при согласовании с Инженерно-конструкторским центром завода. В противном случае потребитель лишается права предъявлять рекламации на преждевременный выход из строя деталей автомобиля.;DMC-URALM-A-00-00-00-00A-018A-A
[1030, 1869, 511, 1175, 4, 273, 339, 321, 3, 31, 211];40;Маркировка идентификационного номера выполняется на правом лонжероне рамы, в задней части.;DMC-URALM-A-00-00-00-00A-018A-A
[1097, 2500, 511, 1098, 4, 237, 339, 222, 3, 30, 217];40;Маркировка идентификационного номера выполняется на правом лонжероне рамы, в задней части.;DMC-URALM-A-00-00-00-00A-018A-A
[1030, 37, 2, 697, 28, 480, 3, 880, 5, 209, 1872, 254, 659, 151, 1873, 1595];41;Маркировка автомобиля и шасси «Урал» выполнена в соответствии с техническим регламентом о безопасности колесных транспортных средств.;DMC-URALM-A-00-00-00-00A-018A-A
[1097, 43, 2, 771, 29, 599, 3, 598, 5, 189, 1872, 254, 680, 154, 2503, 1750];41;Маркировка автомобиля и шасси «Урал» выполнена в соответствии с техническим регламентом о безопасности колесных транспортных средств.;DMC-URALM-A-00-00-00-00A-018A-A
[442, 878, 230, 55, 1874, 6];42;Основная модель прицепа - 82Б (2ПН-4М).;DMC-URALM-A-00-00-00-00A-018A-A
[329, 973, 230, 55, 1874, 6];42;Основная модель прицепа - 82Б (2ПН-4М).;DMC-URALM-A-00-00-00-00A-018A-A
[230, 1875, 1876, 514, 694, 515, 477, 1176, 888, 41, 14, 27, 229, 7, 2808, 1596, 694, 129, 1031, 699, 514, 477, 1176, 27, 229, 2, 2809];43;Прицепов - дышло прицепа (проушина сцепной тяги) должно соответствовать классу D50 по ГОСТ Р 41.55-2005 (для беззазорного тягово-сцепного устройства), основные размеры проушины должны соответствовать ГОСТ Р 41.55-2005 и ИСО 1102-75.;DMC-URALM-A-00-00-00-00A-018A-A
[230, 2504, 230, 557, 768, 558, 600, 1751, 888, 41, 14, 27, 229, 7, 3462, 1752, 768, 132, 329, 699, 557, 600, 1751, 27, 229, 2, 3463];43;Прицепов - дышло прицепа (проушина сцепной тяги) должно соответствовать классу D50 по ГОСТ Р 41.55-2005 (для беззазорного тягово-сцепного устройства), основные размеры проушины должны соответствовать ГОСТ Р 41.55-2005 и ИСО 1102-75.;DMC-URALM-A-00-00-00-00A-018A-A
[1875, 1876, 514, 694, 1177, 477, 1176, 27];44;Дышло прицепа (проушина сцепной петли) должно соответствовать ГОСТ 2349-75.;DMC-URALM-A-00-00-00-00A-018A-A
[2504, 230, 557, 768, 1501, 600, 1751, 27];44;Дышло прицепа (проушина сцепной петли) должно соответствовать ГОСТ 2349-75.;DMC-URALM-A-00-00-00-00A-018A-A
[654, 14, 336];45;Руководство по эксплуатации;DMC-URALM-A-00-00-00-00A-018A-A
[675, 14, 354];45;Руководство по эксплуатации;DMC-URALM-A-00-00-00-00A-018A-A
[1588, 1027, 1594, 2810, 413];46;технически допустимые максимальные осевые массы;DMC-URALM-A-00-00-00-00A-018A-A
[189, 1094, 1749, 3464, 424];46;технически допустимые максимальные осевые массы;DMC-URALM-A-00-00-00-00A-018A-A
[2811, 231, 47, 808];47;товарный знак завода изготовителя;DMC-URALM-A-00-00-00-00A-018A-A
[3465, 231, 47, 846];47;товарный знак завода изготовителя;DMC-URALM-A-00-00-00-00A-018A-A
